FIPSCode,QB1a
2105500000,0
2105700000,1
2105900000,33
2106100000,3
2106300000,1
2106500000,2
2106700000,165
2106900000,0
2107100000,2
2107300000,25
2107500000,0
2107700000,3
2107900000,1
2108100000,1
2108300000,6
2108500000,2
2108700000,2
2108900000,4
2109100000,0
2109300000,89
2109500000,5
2109700000,2
2109900000,2
2110100000,12
2110300000,4
2110500000,0
2110700000,6
2110900000,0
2111100000,152
2111300000,26
2111500000,0
2111700000,35
2111900000,8
2112100000,3
2112300000,3
2112500000,16
2112700000,1
2112900000,0
2113100000,0
2113300000,0
2113500000,1
2113700000,3
2113900000,4
2114100000,1
2114300000,5
2114500000,10
2114700000,1
2114900000,4
2115100000,27
2115300000,3
2115500000,3
2115700000,35
2115900000,1
2116100000,3
2116300000,20
2116500000,4
2116700000,5
2116900000,2
2117100000,2
2117300000,2
2117500000,0
2117700000,5
2117900000,11
2118100000,2
2118300000,1
2118500000,29
2118700000,0
2118900000,0
2119100000,3
2119300000,3
2119500000,5
2119700000,0
2119900000,13
2120100000,1
2120300000,3
2120500000,8
2120700000,2
2120900000,23
2121100000,15
2121300000,1
2121500000,9
2121700000,3
2121900000,4
2122100000,8
2122300000,1
2122500000,0
2122700000,26
2122900000,4
2123100000,0
2123300000,2
2123500000,11
2123700000,0
2123900000,11
2200100000,77
2200300000,19
2200500000,161
2200700000,25
2200900000,31
2201100000,80
2201300000,22
2201500000,342
2201700000,297
2201900000,248
2202100000,22
2202300000,7
2202500000,18
2202700000,22
2202900000,22
2203100000,30
2203300000,675
2203500000,6
2203700000,31
2203900000,28
2204100000,24
2204300000,20
2204500000,53
2204700000,50
2204900000,21
2205100000,509
2205300000,33
2205500000,310
2205700000,70
2205900000,6
2206100000,69
2206300000,141
2206500000,19
2206700000,31
2206900000,52
2207100000,802
2207300000,174
2207500000,52
2207700000,29
2207900000,220
2208100000,25
2208300000,39
2208500000,25
2208700000,38
2208900000,103
2209100000,11
2209300000,27
2209500000,35
2209700000,131
2209900000,47
2210100000,67
2210300000,543
2210500000,139
2210700000,25
2210900000,103
2211100000,22
2211300000,50
2211500000,191
2211700000,52
2211900000,53
2212100000,29
2212300000,21
2212500000,39
2212700000,8
2300000000,1029
2300102060,
2300119105,
2300129255,
2300138565,
2300138740,
2300140035,
2300140665,
2300140770,
2300144585,
2300146160,
2300160020,
2300164570,
2300177800,
2300179585,
2300300800,
2300301220,
2300301710,
2300302760,
2300305385,
2300307065,
2300310565,
2300311020,
2300311300,
2300311335,
2300312000,
2300313900,
2300315395,
2300315990,
2300319210,
2300319420,
2300321380,
2300325615,
2300325755,
2300326735,
2300327120,
2300327855,
2300328590,
2300330690,
2300330725,
2300332195,
2300332685,
2300333385,
2300333980,
2300335065,
2300339300,
2300339965,
2300340595,
2300341715,
2300342450,
2300342520,
2300343255,
2300343710,
2300343990,
2300345180,
2300346685,
2300347175,
2300348120,
2300348575,
2300348960,
2300349415,
2300354385,
2300355435,
2300356205,
2300358060,
2300360300,
2300360825,
2300362400,
2300364780,
2300365025,
2300365200,
2300367790,
2300369260,
2300373472,
2300374405,
2300378570,
2300379270,
2300379865,
2300380285,
2300382770,
2300383540,
2300383785,
2300386865,
2300387215,
2300502655,
2300507170,
2300508430,
2300510180,
2300511125,
2300515430,
2300524495,
2300526525,
2300527025,
2300528240,
2300528870,
2300531390,
2300531600,
2300541067,
2300548085,
2300548820,
2300553860,
2300560545,
2300560685,
2300561945,
2300566145,
2300566775,
2300571990,
2300573670,
2300582105,
2300586025,
2300587845,
2300702235,
2300710740,
2300710915,
2300712595,
2300714205,
2300716165,
2300724005,
2300724775,
2300734820,
2300735625,
2300737025,
2300749345,
2300749520,
2300758445,
2300761840,
2300761875,
2300765655,
2300774825,
2300775980,
2300781300,
2300785850,
2300901185,
2300902165,
2300902865,
2300905700,
2300907800,
2300907975,
2300908815,
2300911265,
2300914905,
2300916935,
2300917145,
2300919770,
2300923200,
2300926350,
2300926595,
2300928450,
2300928975,
2300930970,
2300938180,
2300943430,
2300947630,
2300955505,
2300955855,
2300955890,
2300957920,
2300967300,
2300969750,
2300972865,
2300974580,
2300974965,
2300975280,
2300975455,
2300977345,
2300977415,
2300978920,
2300980040,
2300986655,
2301100590,
2301102100,
2301104020,
2301104475,
2301112350,
2301112735,
2301113470,
2301124670,
2301124950,
2301127085,
2301130550,
2301140175,
2301143080,
2301146405,
2301147770,
2301154560,
2301159110,
2301161700,
2301162190,
2301163835,
2301168385,
2301178745,
2301179025,
2301180740,
2301180880,
2301182945,
2301186165,
2301186515,
2301186970,
2301301465,
2301309725,
2301315780,
2301326805,
2301333840,
2301335135,
2301344165,
2301351620,
2301356135,
2301363590,
2301363660,
2301365130,
2301372585,
2301376365,
2301378115,
2301379130,
2301380215,
2301380425,
2301501010,
2301506050,
2301506120,
2301506855,
2301507485,
2301516235,
2301518475,
2301522675,
2301535695,
2301546335,
2301548645,
2301549660,
2301569645,
2301570240,
2301571955,
2301579550,
2301584135,
2301585010,
2301587075,
2301701325,
2301704825,
2301708150,
2301708710,
2301709550,
2301710005,
2301717250,
2301717740,
2301726910,
2301727505,
2301729710,
2301731110,
2301731670,
2301732370,
2301733315,
2301739422,
2301741365,
2301742835,
2301745285,
2301749275,
2301754000,
2301755960,
2301756310,
2301756625,
2301758270,
2301760405,
2301764185,
2301764290,
2301774510,
2301774685,
2301775035,
2301775595,
2301778465,
2301780635,
2301783890,
2301787355,
2301901115,
2301902795,
2301906575,
2301906680,
2301906925,
2301909200,
2301910670,
2301910810,
2301912105,
2301912525,
2301913365,
2301914310,
2301914380,
2301917530,
2301917950,
2301918580,
2301921030,
2301922535,
2301922710,
2301923620,
2301923865,
2301924110,
2301927190,
2301927645,
2301929185,
2301930795,
2301932510,
2301933490,
2301934190,
2301934365,
2301936325,
2301937075,
2301937760,
2301938005,
2301938530,
2301938705,
2301939475,
2301941435,
2301944270,
2301944340,
2301945005,
2301945670,
2301945810,
2301947560,
2301948505,
2301949065,
2301955225,
2301955565,
2301955680,
2301957045,
2301957150,
2301957937,
2301959950,
2301960790,
2301967160,
2301973250,
2301973600,
2301974055,
2301978780,
2301981055,
2301986305,
2301987390,
2302100100,
2302101920,
2302103740,
2302106400,
2302108325,
2302118195,
2302129535,
2302130095,
2302137095,
2302137970,
2302144830,
2302146020,
2302146580,
2302156765,
2302165865,
