FIPSCode,QA3a,QA3b,Registration,,,
1604700000,6194,,6194,,,
1604900000,9534,,9534,,,
1605100000,12970,,12970,,,
1605300000,7765,,7765,,,
1605500000,71740,,71740,,,
1605700000,22212,,22212,,,
1605900000,4841,,4841,,,
1606100000,2015,,2015,,,
1606300000,2050,,2050,,,
1606500000,15969,,15969,,,
1606700000,7948,,7948,,,
1606900000,20463,,20463,,,
1607100000,2423,,2423,,,
1607300000,4755,,4755,,,
1607500000,10513,,10513,,,
1607700000,3339,,3339,,,
1607900000,6315,,6315,,,
1608100000,5833,,5833,,,
1608300000,34655,,34655,,,
1608500000,6123,,6123,,,
1608700000,5114,,5114,,,
1700100000,44280,5876,50156,,,
1700300000,5644,1839,7483,,,
1700500000,12289,0,12289,,,
1700700000,32036,2410,34446,,,
1700900000,3468,315,3783,,,
1701100000,24311,1761,26072,,,
1701300000,3695,121,3816,,,
1701500000,11393,55,11448,,,
1701700000,8747,627,9374,,,
1701900000,113122,,113122,,,
1702100000,22351,735,23086,,,
1702300000,11629,871,12500,,,
1702500000,8982,1157,10139,,,
1702700000,24679,2048,26727,,,
1702900000,30204,2028,32232,,,
1703012000,,,0.00%,,,
1703100000,1398724,193907,1592631,,,
1703300000,14612,2306,16918,,,
1703500000,7508,459,7967,,,
1703700000,58482,5431,63913,,,
1703900000,12151,383,12534,,,
1704100000,11693,586,12279,,,
1704300000,587586,44157,631743,,,
1704500000,12529,745,13274,,,
1704700000,4430,199,4629,,,
1704900000,22414,917,23331,,,
1705100000,15014,65,15079,,,
1705300000,8695,720,9415,,,
1705500000,28985,29327,58312,,,
1705700000,25257,346,25603,,,
1705900000,3791,151,3942,,,
1706100000,8865,273,9138,,,
1706300000,30095,5462,35557,,,
1706500000,5681,81,5762,,,
1706613000,46457,4212,50669,,,
1706700000,12024,758,12782,,,
1706900000,3096,843,3939,,,
1707100000,4904,3453,8357,,,
1707300000,33314,1654,34968,,,
1707500000,18481,832,19313,,,
1707700000,33443,6673,40116,,,
1707900000,6694,465,7159,,,
1708100000,23119,7580,30699,,,
1708300000,,,0.00%,,,
1708500000,15782,891,16673,,,
1708700000,8133,336,8469,,,
1708900000,227725,11033,238758,,,
1709100000,31292,9573,40865,,,
1709300000,65076,3812,68888,,,
1709500000,148,766,914,,,
1709700000,404004,38882,442886,,,
1709900000,67532,12308,79840,,,
1710100000,9221,1056,10277,,,
1710300000,21466,1946,23412,,,
1710500000,21296,2861,24157,,,
1710700000,19263,69,19332,,,
1710900000,16951,2180,19131,,,
1711100000,206197,11689,217886,,,
1711300000,57215,5524,62739,,,
1711500000,75200,3456,78656,,,
1711700000,31160,1432,32592,,,
1711900000,178844,13126,191970,,,
1712100000,24736,4607,29343,,,
1712300000,8245,244,8489,,,
1712500000,10030,256,10286,,,
1712700000,11304,3301,14605,,,
1712900000,8626,57,8683,,,
1713100000,12122,1464,13586,,,
1713300000,24374,818,25192,,,
1713500000,17221,1315,18536,,,
1713700000,22287,1142,23429,,,
1713900000,8715,555,9270,,,
1714000000,1368708,248730,1617438,,,
1714100000,33852,171,34023,,,
1714300000,45992,4457,50449,,,
1714500000,,,0.00%,,,
1714700000,12072,109,12181,,,
1714900000,11882,9,11891,,,
1715100000,2945,198,3143,,,
1715300000,4676,3320,7996,,,
1715500000,4241,13,4254,,,
1715700000,20792,0,20792,,,
1715900000,11074,1176,12250,,,
1716100000,93478,57286,150764,,,
1716300000,155699,19698,175397,,,
1716500000,15995,176,16171,,,
1716700000,136270,19001,155271,,,
1716900000,5469,14,5483,,,
1717100000,3742,326,4068,,,
1717300000,14509,1330,15839,,,
1717500000,,,0.00%,,,
1717700000,33639,2482,36121,,,
1717900000,85862,7054,92916,,,
1718100000,12139,6926,19065,,,
1718300000,30191,4764,34955,,,
1718500000,8715,772,9487,,,
1718563000,16933,2352,19285,,,
1718700000,11957,402,12359,,,
1718900000,9860,7157,17017,,,
1719100000,12124,505,12629,,,
1719300000,10743,957,11700,,,
1719500000,37510,3199,40709,,,
1719700000,388057,17974,406031,,,
1719900000,43318,5045,48363,,,
1720100000,89526,600,90126,,,
1720300000,22456,2695,25151,,,
1722255000,18641,2865,21506,,,
1728326000,17995,1454,19449,,,
1759000000,66262,12564,78826,,,
1765000000,76685,17805,94490,,,
1800100000,16922,1937,18859,,,
1800300000,216256,44744,261000,,,
1800500000,43428,9073,52501,,,
1800700000,5134,808,5942,,,
1800900000,7336,1359,8695,,,
1801100000,39776,5197,44973,,,
1801300000,10427,2102,12529,,,
